what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.php.server.core,2.2.0.v20100616-1900,"org.eclipse.php.server.core",1330185137492
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql.h2",1330185137505
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1330185137700
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1330185137759
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1330185137762
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330185676264
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330185676380
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330185678100
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330185679316
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330185746425
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330185746487
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330187041299
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330187041389
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330187042740
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330187044316
started,bundle,org.eclipse.dltk.rse.core,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.core",1330187045653
started,bundle,org.eclipse.rse.core,3.1.100.v201003151933,"org.eclipse.rse.core",1330187045722
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330187045748
started,bundle,org.eclipse.rse.services,3.2.0.v201006041352,"org.eclipse.rse.services",1330187045783
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330187045786
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1330187045854
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330187045961
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1330187046707
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1330187046715
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1330187046715
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1330187046732
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1330187046743
stopped,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1330187046752
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1330187046754
stopped,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1330187046768
stopped,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1330187046768
